cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
17,2.6,40.7871933,-73.97753906,1,40.80348206,-73.9489212,0,1,0,1,25,10,59,26,0,1,25,11,26,2
8,1.2,40.77493668,-73.93608856,1,40.76556778,-73.92189026,0,1,4,1,29,21,43,33,4,1,29,21,53,53
4.5,0.5,40.7172966,-73.96426392,1,40.71678543,-73.95665741,0,2,5,1,30,19,48,33,5,1,30,19,52,28
10,1.81,40.68957138,-73.96662903,1,40.69464111,-73.9921875,0,2,1,1,19,18,35,54,1,1,19,18,47,42
9,2.12,40.8135643,-73.95140839,1,40.84056473,-73.94029999,0,2,2,1,13,1,44,24,2,1,13,1,53,12
20,8.1,40.66523361,-73.78783417,1,40.69224548,-73.86667633,0,1,0,1,11,10,54,33,0,1,11,11,19,27
13.5,3.73,40.77494812,-73.95877838,1,40.74391556,-73.92301941,0,2,6,1,10,23,59,12,0,1,11,0,10,23
25.5,9.28,40.77016068,-73.91822815,1,40.69933319,-73.80767059,0,2,6,1,10,10,1,59,6,1,10,10,14,24
8,1.72,40.84243393,-73.88494873,1,40.82611084,-73.8891983,0,2,0,1,4,7,18,30,0,1,4,7,26,17
10,2.31,40.66995239,-73.97554016,1,40.67866898,-73.94973755,0,2,3,1,7,9,39,30,3,1,7,9,49,33
9.5,2.44,40.80578232,-73.92488861,5,40.79584885,-73.93262482,0,2,5,1,16,14,9,44,5,1,16,14,20,47
12,2.7,40.71886444,-73.98971558,1,40.70190048,-73.9896698,0,1,5,1,9,10,17,55,5,1,9,10,31,53
8,1.92,40.65376282,-74.00498962,3,40.67432404,-73.98209381,0,2,2,1,13,0,9,20,2,1,13,0,16,25
5,1.15,40.79360199,-73.96676636,1,40.7943573,-73.95111084,0,2,4,1,1,9,32,39,4,1,1,9,35,8
14,2.88,40.82297134,-73.94173431,1,40.85818481,-73.93185425,0,2,0,1,25,22,15,28,0,1,25,22,33,46
14.5,3.17,40.72773743,-73.99313354,1,40.69549561,-73.99393463,0,2,0,1,11,8,15,1,0,1,11,8,32,50
8,1.86,40.81116486,-73.94683075,1,40.79179382,-73.94509125,0,2,5,1,16,1,6,43,5,1,16,1,14,32
5,0.76,40.68314743,-73.94385529,1,40.6824646,-73.95705414,0,2,1,1,5,9,26,5,1,1,5,9,30,44
22.5,6.74,40.69182205,-73.97159576,1,40.77005386,-73.92775726,0,2,5,1,9,2,6,7,5,1,9,2,29,50
6.5,1.43,40.80479813,-73.93946075,1,40.78873062,-73.95314789,0,2,4,1,15,14,55,52,4,1,15,15,2,13
11,2.65,40.6906395,-73.95835876,2,40.72384644,-73.95083618,0,2,5,1,30,0,53,54,5,1,30,1,5,28
50,9.6,40.73329544,-73.97475433,4,40.82717896,-73.93881226,0,1,6,1,24,16,31,39,6,1,24,17,44,39
12,3.53,40.74198532,-73.90678406,1,40.76657867,-73.92140198,0,2,5,1,9,9,3,31,5,1,9,9,11,24
4,0.44,40.68090057,-73.94965363,1,40.68710327,-73.95095062,0,2,3,1,7,14,24,29,3,1,7,14,27,32
10,2.51,40.71868515,-73.98899841,1,40.70401382,-73.98667145,0,2,5,1,30,19,58,0,5,1,30,20,7,37
9,1.9,40.79553604,-73.94624329,2,40.81138229,-73.95766449,0,1,4,1,1,20,55,33,4,1,1,21,5,26
15,2.89,40.68800354,-73.9196167,1,40.71024704,-73.96344757,0,2,6,1,17,16,38,48,6,1,17,17,0,17
11,2.5,40.80265045,-73.94488525,1,40.82355499,-73.91960144,0,1,6,1,17,21,39,16,6,1,17,21,52,22
7,1.07,40.72706604,-73.95285034,1,40.71412277,-73.94934845,0,2,6,1,24,22,9,30,6,1,24,22,17,48
9,1.34,40.69288254,-73.99312592,1,40.68143082,-73.98018646,0,2,3,1,7,16,22,5,3,1,7,16,33,13
6,1.3,40.69741058,-73.94389343,1,40.67970657,-73.94123077,0,1,2,1,13,15,56,32,2,1,13,16,1,2
5,0.95,40.72428131,-73.94137573,1,40.72388077,-73.95059967,0,2,4,1,1,23,2,7,4,1,1,23,6,22
15,4.1,40.71748352,-74.01062012,3,40.71356583,-73.96582031,0,1,6,1,17,4,9,32,6,1,17,4,24,24
17,4.85,40.76087952,-73.9974823,1,40.75643158,-73.92990112,0,2,0,1,18,2,39,57,0,1,18,2,56,38
7.5,1.6,40.73654175,-73.95602417,1,40.71798325,-73.95748901,0,2,1,1,26,21,13,46,1,1,26,21,21,29
9.5,2.42,40.671978,-74.01053619,1,40.69127655,-73.99123383,0,2,1,1,5,19,1,48,1,1,5,19,11,8
9,2,40.82255554,-73.94668579,1,40.80375671,-73.93787384,0,1,4,1,22,15,36,41,4,1,22,15,46,46
4.5,0.83,40.69497681,-73.95246124,1,40.70517731,-73.94976807,0,2,4,1,15,2,20,45,4,1,15,2,23,39
6,0.91,40.81169128,-73.94647217,1,40.81907272,-73.94075012,0,2,4,1,8,15,14,15,4,1,8,15,22,59
11.5,1.5,40.79732895,-73.93048096,1,40.7920723,-73.95056152,0,1,1,1,26,8,3,31,1,1,26,8,19,52
6.5,0.82,40.67501831,-73.97671509,1,40.67700195,-73.96513367,0,2,4,1,8,7,58,2,4,1,8,8,5,4
34.5,11.68,40.71110153,-73.89411163,1,40.64956284,-73.96308899,0,2,6,1,3,10,11,52,6,1,3,10,38,55
18.5,5.73,40.6759491,-73.93602753,1,40.73124695,-73.95449829,0,2,3,1,28,23,1,47,3,1,28,23,20,13
6,1.21,40.81797028,-73.94986725,1,40.8055191,-73.95448303,0,2,3,1,14,7,53,59,3,1,14,7,59,12
3,0.2,40.66065216,-73.96208191,1,40.65892029,-73.96046448,0,2,2,1,6,6,44,42,2,1,6,6,45,31
6,0.76,40.73995209,-73.92481995,1,40.74396133,-73.92731476,0,2,5,1,30,23,22,47,5,1,30,23,28,42
10.5,2.29,40.69507217,-73.99275208,1,40.69483185,-73.96623993,0,2,1,1,19,7,16,24,1,1,19,7,28,26
15,4.48,40.76745987,-73.8815918,1,40.7339859,-73.87088013,0,2,4,1,8,18,18,13,4,1,8,18,32,40
5,0.77,40.8122673,-73.96205902,1,40.81260681,-73.95096588,0,2,1,1,12,21,12,27,1,1,12,21,16,52
25.5,8.03,40.66330338,-73.82324219,1,40.69481277,-73.95243835,0,2,6,1,10,2,53,23,6,1,10,3,18,38
15.5,4.28,40.74621582,-73.97134399,1,40.79673767,-73.93792725,0,2,3,1,14,13,12,17,3,1,14,13,28,54
5,0.78,40.7693634,-73.91495514,1,40.76121521,-73.92373657,0,2,1,1,12,22,25,21,1,1,12,22,30,52
4.5,0.83,40.79755783,-73.93691254,6,40.78723526,-73.94184113,0,2,3,1,21,7,57,47,3,1,21,7,59,48
13,3.28,40.74720383,-73.8260498,1,40.70788193,-73.802948,0,2,5,1,16,7,47,18,5,1,16,8,1,38
17.5,4.48,40.67722321,-73.95401001,1,40.72385025,-73.95056152,0,2,3,1,14,0,22,7,3,1,14,0,40,53
14.5,3.43,40.67352676,-73.95014191,1,40.70231247,-73.98675537,0,2,5,1,16,0,33,31,5,1,16,0,51,3
7.5,1.38,40.82018661,-73.89070892,1,40.82817841,-73.90711212,0,2,5,1,9,4,35,38,5,1,9,4,43,51
13.5,4.28,40.74533081,-73.97131348,1,40.79494858,-73.93307495,0,2,1,1,12,9,44,38,1,1,12,9,56,1
7.5,0.93,40.76749039,-73.91757965,1,40.76997375,-73.92762756,0,2,3,1,21,16,52,32,3,1,21,17,2,41
4.5,0.57,40.80844879,-73.94688416,1,40.8045311,-73.93740845,0,2,2,1,6,8,55,45,2,1,6,8,59,28
14.5,3.6,40.72002792,-74.00286865,1,40.68619919,-73.99632263,0,1,4,1,22,8,48,13,4,1,22,9,4,52
6,1.1,40.68119049,-73.99660492,1,40.69479752,-73.9944458,0,1,2,1,13,15,15,53,2,1,13,15,21,53
13,3.1,40.71905136,-73.90744781,1,40.71633148,-73.96121216,0,1,6,1,17,1,37,49,6,1,17,1,51,43
8.5,1.7,40.72456741,-73.94873047,1,40.70920944,-73.96874237,0,1,4,1,8,19,20,6,4,1,8,19,29,19
7,1.3,40.6835289,-74.00278473,1,40.69215393,-73.98925018,0,1,1,1,12,20,37,8,1,1,12,20,44,56
10.5,2.1,40.78398132,-73.84573364,1,40.75951767,-73.82977295,0,2,6,1,10,22,50,18,6,1,10,23,3,14
5,0.88,40.83160019,-73.94652557,1,40.82020187,-73.95484161,0,2,3,1,14,16,22,21,3,1,14,16,25,49
23.5,5.93,40.74005127,-73.98978424,5,40.79538345,-73.93283081,0,2,4,1,8,11,26,38,4,1,8,11,52,32
5,0.6,40.68651962,-73.91283417,1,40.68483353,-73.90995026,0,2,4,1,1,21,13,58,4,1,1,21,18,47
3,0.11,40.82694626,-73.92246246,1,40.82626343,-73.9205246,0,2,6,1,24,15,56,47,6,1,24,15,57,49
7.5,1.7,40.79439163,-73.97058868,1,40.8114357,-73.9546814,0,1,6,1,17,11,4,57,6,1,17,11,11,31
22.5,7.12,40.7106781,-73.98778534,1,40.79088593,-73.95149994,0,2,2,1,20,20,46,37,2,1,20,21,3,55
17.5,3.75,40.67564011,-73.96333313,1,40.72418594,-73.95212555,0,2,3,1,28,7,44,32,3,1,28,8,7,50
4,0.57,40.72595215,-73.9409256,2,40.72332382,-73.95182037,0,2,4,1,15,23,30,3,4,1,15,23,32,43
24,7.12,40.66669083,-73.98510742,1,40.71415329,-73.95604706,0,2,5,1,9,0,57,51,5,1,9,1,22,6
17,3.83,40.77283859,-73.9615097,1,40.81363297,-73.96005249,0,2,2,1,27,16,43,4,2,1,27,17,5,23
10,2.44,40.72005081,-73.9933548,1,40.71411133,-73.95596313,0,2,6,1,24,21,10,31,6,1,24,21,20,49
8,1.33,40.70661545,-73.81814575,1,40.69982147,-73.80781555,0,2,0,1,25,21,32,25,0,1,25,21,41,37
12.5,2.95,40.80561066,-73.91053772,1,40.80784607,-73.93909454,0,2,1,1,5,18,50,55,1,1,5,19,4,16
11,2.21,40.85144424,-73.93211365,1,40.82293701,-73.95288086,0,2,2,1,6,0,41,48,2,1,6,0,54,37
11.5,2.08,40.80760956,-73.96513367,1,40.79071426,-73.95370483,0,2,1,1,26,10,5,59,1,1,26,10,20,20
4.5,0.76,40.82012558,-73.94564819,1,40.81058121,-73.95265198,0,2,4,1,22,13,27,31,4,1,22,13,30,48
6.5,1.17,40.73222733,-73.89305115,1,40.74660873,-73.89150238,0,2,2,1,20,3,49,17,2,1,20,3,55,59
6,1.24,40.72199249,-73.94208527,2,40.7182045,-73.95765686,0,2,2,1,6,20,38,7,2,1,6,20,43,38
11,3.12,40.76516724,-73.95792389,3,40.76329422,-73.93363953,0,2,4,1,8,7,37,48,4,1,8,7,47,59
21.5,6.88,40.66202164,-73.92733002,1,40.6819725,-73.83680725,0,2,2,1,13,9,24,17,2,1,13,9,41,51
14.5,3.8,40.71665192,-73.90041351,1,40.7588768,-73.91880798,0,2,6,1,10,2,19,4,6,1,10,2,35,51
7,1.32,40.74967957,-73.86947632,1,40.74868011,-73.89175415,0,2,0,1,11,20,49,26,0,1,11,20,59,27
6,1.15,40.68732834,-73.95961761,1,40.67101288,-73.96147156,0,2,2,1,13,19,7,7,2,1,13,19,12,12
11.5,3.25,40.7654686,-73.87278748,1,40.74696732,-73.89120483,0,2,1,1,19,15,14,17,1,1,19,15,22,50
16.5,4.98,40.72704315,-73.95288849,1,40.69143677,-73.98409271,0,2,5,1,9,0,46,47,5,1,9,1,0,17
6,1.19,40.7714119,-73.9594574,5,40.78588486,-73.95088196,0,2,6,1,3,13,3,36,6,1,3,13,9,27
16.5,3.25,40.68316269,-73.99368286,2,40.65938187,-73.96257782,0,2,5,1,30,14,53,46,5,1,30,15,17,23
11.5,2.11,40.69493866,-73.99188232,3,40.67823029,-73.97926331,0,2,3,1,7,19,8,40,3,1,7,19,23,11
6.5,1.21,40.72909546,-73.82759094,1,40.72088242,-73.84431458,0,2,2,1,20,19,51,14,2,1,20,19,57,14
6,0.77,40.7495575,-73.88430023,1,40.74666214,-73.89150238,0,2,3,1,21,15,49,35,3,1,21,15,56,5
7,1.48,40.8246727,-73.9223175,1,40.82270813,-73.94156647,0,2,2,1,13,19,28,44,2,1,13,19,35,47
8.5,1.13,40.81208801,-73.95731354,1,40.80225372,-73.95313263,0,2,1,1,26,7,59,36,1,1,26,8,9,39
9,1.75,40.84047699,-73.94028473,1,40.82556534,-73.95108032,0,2,2,1,20,8,3,14,2,1,20,8,12,58
7.5,1.12,40.676754,-73.98025513,1,40.68597412,-73.99095917,0,2,5,1,30,19,28,59,5,1,30,19,37,56
10.5,2.64,40.68267822,-73.92903137,1,40.69057846,-73.95861053,0,2,5,1,9,21,23,16,5,1,9,21,35,28
6.5,0.98,40.80623245,-73.9540329,1,40.80459595,-73.9665451,0,2,1,1,19,18,32,43,1,1,19,18,40,22
7,1.52,40.79808044,-73.94813538,1,40.81551361,-73.93598175,0,2,4,1,22,21,14,23,4,1,22,21,20,9
7,1.36,40.76727295,-73.89846039,5,40.77522659,-73.91201782,0,2,3,1,14,20,16,31,3,1,14,20,22,55
11.5,2.6,40.74393082,-73.92242432,1,40.74698639,-73.88796997,0,1,5,1,30,4,4,58,5,1,30,4,18,14
16.5,2.87,40.66835022,-73.98701477,6,40.6465683,-73.97080231,0,2,3,1,28,9,40,56,3,1,28,10,4,51
13,3.83,40.80509949,-73.93889618,1,40.76699066,-73.91697693,0,2,4,1,22,21,34,56,4,1,22,21,43,26
4,0.32,40.8359375,-73.84229279,1,40.83366013,-73.84513855,0,2,3,1,28,15,15,18,3,1,28,15,18,36
21.5,0.43,40.69477463,-73.98886871,1,40.68845367,-73.98926544,0,2,3,1,21,18,59,50,3,1,21,19,2,17
6.5,1.08,40.79567337,-73.93250275,1,40.80193329,-73.94953918,0,2,5,1,30,9,54,55,5,1,30,10,1,30
7.5,1.56,40.76450348,-73.93482208,1,40.75611877,-73.91301727,0,2,4,1,1,3,43,16,4,1,1,3,51,15
13.5,4.33,40.73366165,-73.78729248,1,40.7150383,-73.83207703,0,2,6,1,10,0,32,18,6,1,10,0,41,9
31,10.85,40.71244049,-73.76579285,1,40.76790237,-73.91152191,0,2,0,1,4,21,32,49,0,1,4,21,52,23
4.5,0.65,40.8085289,-73.94515228,1,40.8026619,-73.94933319,0,2,6,1,17,21,21,56,6,1,17,21,25,16
25.5,6.2,40.75575256,-73.86618042,1,40.75851822,-73.91938782,0,1,2,1,13,5,25,7,2,1,13,5,57,44
10.5,1.9,40.66845322,-73.95596313,1,40.68480301,-73.97631836,0,1,2,1,13,18,53,0,2,1,13,19,6,3
9,1.95,40.77046967,-73.96186066,1,40.79537964,-73.94403839,0,2,2,1,13,16,32,54,2,1,13,16,43,31
7,1.14,40.68064117,-73.99671173,2,40.69199371,-73.98727417,0,2,5,1,30,21,0,4,5,1,30,21,8,12
7,0.9,40.8076973,-73.93922424,1,40.81464005,-73.94763184,0,1,2,1,20,8,12,51,2,1,20,8,20,59
5,0.86,40.66288757,-73.9917984,1,40.65316772,-74.00188446,0,2,6,1,10,1,21,29,6,1,10,1,24,46
5.5,0.9,40.71107864,-73.95974731,1,40.7144165,-73.94592285,0,2,3,1,21,20,23,27,3,1,21,20,28,47
9,1.42,40.84106827,-73.8732605,1,40.84658813,-73.89576721,0,2,4,1,29,17,15,14,4,1,29,17,27,35
23.5,7.07,40.75357056,-73.88499451,1,40.72135162,-73.84429169,0,2,5,1,9,4,47,53,5,1,9,5,8,32
5,0.71,40.73683167,-73.92466736,1,40.74354935,-73.92375183,0,2,2,1,20,1,53,52,2,1,20,1,57,55
8,1.31,40.79819107,-73.94080353,1,40.81130219,-73.9522171,0,2,4,1,22,9,27,56,4,1,22,9,38,56
5,0.6,40.77971268,-73.95580292,1,40.78668976,-73.9525528,0,1,0,1,25,12,11,59,0,1,25,12,16,14
4.5,0.37,40.6907959,-73.99213409,1,40.69225311,-73.98748779,0,2,2,1,6,19,38,49,2,1,6,19,42,24
11.5,2.7,40.77967453,-73.95281219,1,40.80922318,-73.95301819,0,1,6,1,17,13,9,0,6,1,17,13,21,44
4.5,0.7,40.77788162,-73.95580292,1,40.78555679,-73.94998169,0,2,5,1,30,10,44,18,5,1,30,10,48,12
5,0.7,40.65730667,-73.90377808,1,40.66802979,-73.90631104,0,2,6,1,24,14,29,47,6,1,24,14,34,43
11.5,2.38,40.74664307,-73.89272308,5,40.75639343,-73.92997742,0,2,5,1,30,10,59,24,5,1,30,11,13,58
8.5,1.89,40.65431595,-73.94813538,1,40.68015671,-73.94958496,0,2,6,1,10,19,0,6,6,1,10,19,8,3
22.5,6.9,40.85136795,-73.89038849,1,40.80105209,-73.9479599,0,2,5,1,16,23,26,6,5,1,16,23,47,13
13,3.97,40.58554459,-73.96613312,6,40.62747955,-73.95675659,0,2,4,1,1,5,22,46,4,1,1,5,32,41
11.5,3.24,40.76700592,-73.96191406,1,40.80282211,-73.95661163,0,2,5,1,30,3,29,39,5,1,30,3,39,41
32,7.37,40.75841904,-73.97718811,2,40.69339371,-73.96673584,0,2,0,1,11,10,39,54,0,1,11,11,26,43
30.5,9.96,40.64561844,-73.77632141,1,40.72835922,-73.7948761,0,2,6,1,24,12,29,39,6,1,24,12,56,38
11.5,2.5,40.66519547,-73.89904022,2,40.65497971,-73.91616821,0,1,5,1,30,3,45,30,5,1,30,3,58,38
18.5,4.06,40.75397873,-73.94945526,1,40.74842834,-73.89178467,0,2,5,1,2,18,15,6,5,1,2,18,40,1
5,0.66,40.68930054,-73.97201538,1,40.68525314,-73.98049927,0,2,0,1,4,18,46,18,0,1,4,18,50,36
5.5,0.71,40.7397995,-73.86018372,5,40.73377991,-73.86901855,0,2,5,1,9,19,36,38,5,1,9,19,42,18
17,3.4,40.76511765,-73.9838562,1,40.79276657,-73.95217133,0,1,5,1,9,13,15,4,5,1,9,13,37,17
20.5,5.88,40.7435379,-73.95859528,1,40.73433304,-73.86948395,0,2,1,1,12,13,23,32,1,1,12,13,40,57
7,1.76,40.82313156,-73.94515228,1,40.80215454,-73.94978333,0,2,0,1,18,0,3,59,0,1,18,0,9,14
5.5,0.84,40.76592636,-73.91470337,6,40.76174164,-73.92549133,0,2,2,1,13,20,51,41,2,1,13,20,56,3
20.5,5.7,40.68787003,-73.94482422,3,40.721241,-73.84420013,0,2,1,1,5,1,23,17,1,1,5,1,42,43
31,7.53,40.76631165,-73.96528625,1,40.70362854,-73.98461914,0,2,6,1,10,10,30,31,6,1,10,10,53,19
5,0.7,40.79616547,-73.9436264,1,40.79118347,-73.95142365,0,1,2,1,13,14,5,41,2,1,13,14,10,26
11.5,2.58,40.68013,-73.94457245,1,40.69202042,-73.98729706,0,2,2,1,13,22,38,28,2,1,13,22,52,35
10.5,2.29,40.78705597,-73.97779846,1,40.80743408,-73.95317078,0,2,4,1,29,10,37,41,4,1,29,10,49,12
23.5,7.55,40.75963974,-73.99531555,1,40.84674835,-73.93820953,0,2,6,1,10,19,3,54,6,1,10,19,20,25
9,2.02,40.80820847,-73.96391296,1,40.80509186,-73.9393692,0,2,2,1,20,8,35,43,2,1,20,8,46,19
4,0.4,40.74831772,-73.94958496,2,40.74542618,-73.94681549,0,1,6,1,17,15,56,1,6,1,17,15,58,52
18,4.61,40.74372482,-73.98174286,1,40.7870369,-73.94503784,0,2,4,1,15,18,3,17,4,1,15,18,23,53
7,1.1,40.76203156,-73.88943481,1,40.74686432,-73.89045715,0,1,1,1,5,14,40,2,1,1,5,14,47,40
13,3.3,40.71788025,-73.95765686,1,40.68351364,-73.96711731,0,1,0,1,4,13,1,29,0,1,4,13,16,26
10,1.19,40.73770142,-73.86885071,1,40.74758148,-73.88393402,0,2,0,1,25,17,1,24,0,1,25,17,16,10
4,0.6,40.74287415,-73.95462799,1,40.74817657,-73.95665741,0,1,1,1,12,8,38,2,1,1,12,8,40,39
67.5,21.68,40.66953659,-73.95709229,1,40.84832764,-73.90072632,0,2,3,1,28,23,7,22,4,1,29,0,6,52
36,12.14,40.64702225,-73.78964996,1,40.65734863,-73.96028137,0,2,4,1,1,2,59,49,4,1,1,3,29,47
12.5,2.91,40.74520111,-73.87598419,1,40.75957108,-73.83036041,0,2,3,1,14,16,29,47,3,1,14,16,44,52
12.5,3.3,40.67612076,-73.95096588,1,40.71171951,-73.94360352,0,1,4,1,1,8,6,20,4,1,1,8,19,8
6,0.88,40.80657959,-73.95381165,1,40.81402588,-73.94461823,0,2,5,1,30,16,42,21,5,1,30,16,48,39
13.5,3.3,40.69668961,-73.85461426,1,40.73417282,-73.8711853,0,1,4,1,8,11,50,20,4,1,8,12,5,2
6.5,1.2,40.6786499,-73.98014832,1,40.68758011,-73.98671722,0,1,5,1,16,9,19,3,5,1,16,9,24,50
8.5,2.13,40.78336716,-73.97880554,1,40.80673218,-73.96094513,0,2,0,1,11,18,43,25,0,1,11,18,51,42
9,1.8,40.78740311,-73.97174835,1,40.80949783,-73.96304321,0,1,6,1,10,17,19,55,6,1,10,17,30,55
14,2.54,40.68043137,-73.94939423,1,40.68855667,-73.98278046,0,2,4,1,15,20,23,58,4,1,15,20,42,20
6,1.1,40.80152512,-73.95012665,1,40.81383133,-73.94495392,0,1,4,1,22,7,37,43,4,1,22,7,42,57
10.5,2.66,40.78360748,-73.97771454,1,40.81147385,-73.95211029,0,2,5,1,30,17,20,7,5,1,30,17,32,2
8.5,1.6,40.79519272,-73.96582794,1,40.81616211,-73.95428467,0,1,2,1,20,8,34,19,2,1,20,8,43,37
7,0.49,40.80402374,-73.95188904,1,40.80836487,-73.95304108,0,2,4,1,29,20,6,50,4,1,29,20,12,48
7.5,1.35,40.8080368,-73.94515991,1,40.81892395,-73.9447937,0,2,4,1,22,23,14,6,4,1,22,23,22,29
8,1.54,40.80937195,-73.93504333,1,40.82448959,-73.94586945,0,2,2,1,6,17,35,19,2,1,6,17,44,23
10,2,40.80767441,-73.94141388,1,40.805439,-73.96575165,0,2,0,1,11,16,44,19,0,1,11,16,56,20
5,0.9,40.71047974,-73.84571838,1,40.72133255,-73.84422302,0,1,5,1,30,11,19,28,5,1,30,11,24,1
3.5,0.4,40.71346283,-73.82347107,1,40.71357346,-73.82992554,0,1,1,1,19,13,25,58,1,1,19,13,27,35
16.5,4.3,40.76664734,-73.95413208,1,40.813694,-73.95995331,0,1,4,1,29,22,22,15,4,1,29,22,41,52
16.5,4.82,40.7830925,-73.95293427,1,40.8249321,-73.93922424,0,2,5,1,16,13,50,0,5,1,16,14,3,1
32.5,8.89,40.71275711,-73.99006653,2,40.66217804,-73.89331818,0,2,5,1,23,4,45,55,5,1,23,5,33,39
9.5,2.07,40.787117,-73.9754715,1,40.80335617,-73.95271301,0,2,5,1,2,11,8,54,5,1,2,11,19,7
8.5,1.5,40.68340683,-73.93066406,1,40.67525864,-73.94983673,0,1,5,1,30,14,0,44,5,1,30,14,11,21
4,0.57,40.6879158,-73.94767761,1,40.68034744,-73.94979858,0,2,2,1,20,3,22,45,2,1,20,3,24,59
18.5,4.06,40.76124191,-73.98694611,1,40.80381012,-73.94829559,0,2,3,1,21,15,38,32,3,1,21,16,4,8
5.5,0.87,40.70582199,-73.96298981,1,40.69474411,-73.9561615,0,2,6,1,17,16,5,4,6,1,17,16,10,33
4.5,0.78,40.69935608,-73.99449158,1,40.69009781,-73.99438477,0,2,4,1,1,17,2,28,4,1,1,17,5,44
8,1.19,40.70125198,-73.94211578,5,40.69502258,-73.95199585,0,2,5,1,16,15,59,7,5,1,16,16,8,35
7.5,1.48,40.76852417,-73.92141724,1,40.7632637,-73.94015503,0,2,2,1,13,18,13,27,2,1,13,18,21,45
18,5.22,40.70637894,-73.92420197,1,40.70240402,-73.98639679,0,2,1,1,12,20,22,20,1,1,12,20,39,49
7,1.61,40.77906036,-73.95378113,1,40.79862213,-73.9418335,0,2,5,1,2,21,55,32,5,1,2,22,1,33
6,0.71,40.68050385,-73.97481537,1,40.67172623,-73.98106384,0,2,2,1,27,7,57,24,2,1,27,8,3,23
33.5,9.69,40.63905716,-74.02731323,1,40.7018013,-73.98770905,0,2,6,1,24,12,34,42,6,1,24,13,9,15
12,3.41,40.71366501,-73.75113678,1,40.70064545,-73.80739594,0,2,0,1,4,0,42,2,0,1,4,0,52,59
4.5,0.67,40.72388077,-73.95283508,1,40.71692276,-73.9585495,0,2,2,1,27,21,41,40,2,1,27,21,44,51
10.5,1.8,40.74974823,-73.85688782,1,40.74716187,-73.88759613,1,1,3,1,28,14,11,47,3,1,28,14,25,59
6.5,1.38,40.70780563,-73.92384338,1,40.72100449,-73.90403748,0,2,4,1,1,0,29,5,4,1,1,0,33,7
12.5,2.68,40.71224976,-73.89002228,5,40.72888184,-73.85822296,0,2,6,1,17,14,51,58,6,1,17,15,7,48
10,2.22,40.71308517,-74.00403595,1,40.69342804,-73.99656677,0,2,1,1,12,9,11,16,1,1,12,9,20,50
5.5,0.97,40.81418991,-73.9431076,1,40.80308151,-73.95249176,0,2,5,1,16,21,51,38,5,1,16,21,56,0
6,1.2,40.74335861,-73.87020111,1,40.73748398,-73.87722015,0,1,2,1,6,1,11,29,2,1,6,1,17,24
24,6.23,40.74431229,-74.00292206,1,40.79071808,-73.95372009,0,2,2,1,13,15,18,35,2,1,13,15,45,2
25,8.5,40.77045822,-73.86500549,1,40.71739578,-73.95824432,0,1,5,1,2,14,34,42,5,1,2,14,55,23
5.5,1.26,40.78804398,-73.94824219,1,40.803936,-73.93782806,0,2,2,1,27,22,31,38,2,1,27,22,35,25
3.5,0.38,40.67359924,-73.97605133,1,40.66886139,-73.97986603,0,2,1,1,12,19,51,47,1,1,12,19,54,3
24.5,7.07,40.75981903,-73.97022247,1,40.69846725,-73.99254608,0,2,3,1,21,9,13,55,3,1,21,9,40,42
10,1.9,40.68649673,-73.97486877,2,40.6796875,-73.94416046,0,1,0,1,11,20,28,38,0,1,11,20,40,56
5.5,0.8,40.75933838,-73.88623047,1,40.74721146,-73.88439941,0,1,2,1,13,2,10,6,2,1,13,2,15,12
10.5,2.5,40.67847061,-73.9504776,1,40.69212341,-73.98312378,0,1,5,1,2,23,9,7,5,1,2,23,19,43
25.5,7.86,40.71424103,-74.01472473,1,40.63700485,-73.95713806,0,2,6,1,17,16,28,36,6,1,17,16,53,11
5.5,0.7,40.80293655,-73.96539307,1,40.80415726,-73.95558167,0,2,1,1,5,18,36,49,1,1,5,18,43,8
7,1.5,40.70249176,-73.99116516,6,40.68489838,-74.00203705,0,2,1,1,19,8,43,36,1,1,19,8,50,25
10.5,2.46,40.70155716,-73.94356537,1,40.67615891,-73.95051575,0,2,1,1,12,23,16,41,1,1,12,23,26,51
17.5,5.08,40.75114822,-73.97457123,6,40.71286774,-73.96348572,0,2,1,1,12,21,18,52,1,1,12,21,33,31
18,4.6,40.77180862,-73.96562958,1,40.82324982,-73.9379425,0,1,1,1,12,9,46,40,1,1,12,10,8,58
10,2.34,40.67660522,-73.97716522,1,40.68045425,-73.94930267,0,2,2,1,20,22,48,37,2,1,20,22,59,24
6,1.11,40.79494858,-73.94111633,1,40.78723145,-73.95409393,0,2,4,1,22,14,12,54,4,1,22,14,19,18
11,2.67,40.74995422,-73.86209869,1,40.75401306,-73.90411377,0,2,0,1,4,1,44,42,0,1,4,1,56,9
17.5,2.91,40.72128677,-73.98780823,1,40.72205353,-73.95783997,0,2,5,1,30,18,5,13,5,1,30,18,32,34
9,1.66,40.73478317,-73.86947632,1,40.75081635,-73.85878754,0,2,2,1,6,17,21,4,2,1,6,17,32,58
17.5,4.99,40.72980881,-73.99124146,3,40.7023735,-73.98682404,0,2,2,1,6,16,45,45,2,1,6,17,1,34
